timestamp,content,style,size,steps,alpha,beta,gamma,lr,seed,final_total_loss,wall_time_s,ssim_vs_content,final_image
2025-09-15T05:24:43.967818+00:00,color street.jpg,Surrealism.jpg,256,50,1,1000,10,0.02,42,8.286275e+11,79.044,0.500456,outputs\runs\color street__Surrealism__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T05:26:02.981329+00:00,color street.jpg,Surrealism.jpg,256,50,1,2000,10,0.02,42,1.657266e+12,79.008,0.500426,outputs\runs\color street__Surrealism__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T05:27:22.270665+00:00,color street.jpg,Surrealism.jpg,256,50,1,5000,10,0.02,42,4.141601e+12,79.284,0.500431,outputs\runs\color street__Surrealism__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T05:28:45.860717+00:00,Forest.jpg,cubism.jpg,256,50,1,1000,10,0.02,42,3.013343e+12,81.795,0.450260,outputs\runs\Forest__cubism__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T05:30:07.140078+00:00,Forest.jpg,cubism.jpg,256,50,1,2000,10,0.02,42,6.026733e+12,81.274,0.450235,outputs\runs\Forest__cubism__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T05:31:27.807556+00:00,Forest.jpg,cubism.jpg,256,50,1,5000,10,0.02,42,1.506532e+13,80.663,0.450248,outputs\runs\Forest__cubism__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T05:32:49.095784+00:00,Forest.jpg,Da Vinci.jpg,256,50,1,1000,10,0.02,42,5.237587e+11,79.653,0.417131,outputs\runs\Forest__Da Vinci__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T05:34:09.485527+00:00,Forest.jpg,Da Vinci.jpg,256,50,1,2000,10,0.02,42,1.047839e+12,80.385,0.417103,outputs\runs\Forest__Da Vinci__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T05:35:28.330252+00:00,Forest.jpg,Da Vinci.jpg,256,50,1,5000,10,0.02,42,2.616905e+12,78.840,0.417096,outputs\runs\Forest__Da Vinci__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T05:36:50.192067+00:00,Forest.jpg,hokusai.jpg,256,50,1,1000,10,0.02,42,1.059546e+12,79.959,0.457949,outputs\runs\Forest__hokusai__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T05:38:10.949316+00:00,Forest.jpg,hokusai.jpg,256,50,1,2000,10,0.02,42,2.119605e+12,80.752,0.458008,outputs\runs\Forest__hokusai__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T05:39:31.549133+00:00,Forest.jpg,hokusai.jpg,256,50,1,5000,10,0.02,42,5.298839e+12,80.595,0.457992,outputs\runs\Forest__hokusai__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T05:40:53.034301+00:00,Forest.jpg,monet.jpg,256,50,1,1000,10,0.02,42,1.913274e+11,79.728,0.403532,outputs\runs\Forest__monet__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T05:42:15.708031+00:00,Forest.jpg,monet.jpg,256,50,1,2000,10,0.02,42,3.825863e+11,82.666,0.403585,outputs\runs\Forest__monet__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T05:43:35.529815+00:00,Forest.jpg,monet.jpg,256,50,1,5000,10,0.02,42,9.565287e+11,79.817,0.403511,outputs\runs\Forest__monet__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T05:44:56.175777+00:00,Forest.jpg,Starry_night.jpg,256,50,1,1000,10,0.02,42,5.116743e+11,78.742,0.470885,outputs\runs\Forest__Starry_night__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T05:46:17.085412+00:00,Forest.jpg,Starry_night.jpg,256,50,1,2000,10,0.02,42,1.023164e+12,80.904,0.470851,outputs\runs\Forest__Starry_night__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
